Sr. No.,Player Name,Base Price,Winning Bid,Capped/Uncapped,Team,Sold/Unsold
560,Pratham Singh,3000000,,Uncapped,,Unsold
561,Ravi Yadav,3000000,,Uncapped,,Unsold
562,Arjun Azad,3000000,,Uncapped,,Unsold
563,Abhay Choudhary,3000000,,Uncapped,,Unsold
564,Gaurav Gambhir,3000000,,Uncapped,,Unsold
565,Shubham Garhwal,3000000,,Uncapped,,Unsold
566,Tejasvi Jaiswal,3000000,,Uncapped,,Unsold
567,Sairaj Patil,3000000,,Uncapped,,Unsold
568,Kamal Tripathi,3000000,,Uncapped,,Unsold
569,Prashant Chauhan,3000000,,Uncapped,,Unsold
570,Yash Dabas,3000000,,Uncapped,,Unsold
571,Dhruv Kaushik,3000000,,Uncapped,,Unsold
572,Khrievitso Kense,3000000,,Uncapped,,Unsold
573,Akash Parkar,3000000,,Uncapped,,Unsold
574,Tripuresh Singh,3000000,,Uncapped,,Unsold
575,Vijay Yadav,3000000,,Uncapped,,Unsold
576,Saurabh Netravalkar,3000000,,Uncapped,,Unsold
577,Hardik Tamore,3000000,,Uncapped,,Unsold
